cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,160,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,211,1,6.7174,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,99.9,843.91
256,168,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,211,1,6.7783,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,103.96,847.21
256,176,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,211,1,6.8942,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,107.08,843.66
256,184,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,211,1,6.846,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,112.73,860.36
256,192,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,211,1,6.9534,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,115.82,857.68
256,200,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.149,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,117.34,844.53
256,208,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.1306,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,122.35,857.04
256,216,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.1338,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,127.0,867.0
256,224,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.1669,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,131.09,873.27
256,232,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,271,1,7.1636,flydsl_gemm2_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,135.84,883.97
