cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,416,11264,1536,ck,14,3,19.5392,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,736.72,1397.81,0.0001
256,448,3072,1536,ck,11,1,9.7595,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,433.2,836.03,0.0
256,448,4096,512,ck,16,3,6.3258,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,297.05,947.95,0.0
256,448,7168,2048,ck,14,1,16.7109,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,787.11,1317.71,0.0001
256,448,4608,7168,asm,16,1,31.2127,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,948.17,1293.39,0.0
256,448,7168,2304,ck,14,2,18.8634,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,784.46,1270.7,0.0
256,448,128,7168,asm,7,8,9.3659,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,87.77,453.08,0.0115
256,448,2112,7168,ck,17,0,21.4387,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,632.71,944.2,0.0
256,448,2240,7168,ck,17,0,21.7719,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,660.78,977.16,0.0
256,448,8192,1536,ck,14,1,15.0331,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,749.96,1371.05,0.0
256,448,11264,1536,ck,14,3,19.5201,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,794.16,1438.63,0.0001
256,480,3072,1536,ck,12,3,9.6774,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,468.09,868.52,0.0
256,480,4096,512,ck,2,0,6.2848,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,320.34,998.45,0.0116
256,480,7168,2048,ck,14,0,17.1345,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,822.48,1315.73,0.0001
256,480,4608,7168,asm,24,1,33.5143,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,946.13,1220.21,0.0
256,480,7168,2304,asm,40,1,19.244,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,823.87,1273.24,0.0
256,480,128,7168,asm,15,8,9.0494,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,97.33,495.17,0.01
