cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,7168,256,ck,7,0,2.8963,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.27,714.18,0.0
256,16,7168,2048,ck,7,0,7.5664,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.09,1974.81,0.0
256,16,7168,2304,ck,7,0,8.5791,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,61.6,1956.07,0.0
256,32,7168,256,ck,7,0,3.2073,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,36.62,717.72,0.0
256,32,7168,2048,ck,7,0,7.839,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,119.85,1939.58,0.0
256,32,7168,2304,ck,7,0,8.7024,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,121.46,1958.95,0.0
256,64,7168,256,ck,7,0,3.6924,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,63.61,749.89,0.0
256,64,7168,2048,ck,12,0,8.4937,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,221.23,1851.8,0.0
256,64,7168,2304,ck,12,0,9.1031,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,232.22,1931.21,0.0
256,128,7168,256,ck,7,0,4.4087,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,106.55,839.88,0.0
256,128,7168,2048,ck,17,0,9.7034,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,387.3,1729.0,0.0
256,128,7168,2304,ck,17,0,10.8862,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,388.37,1712.72,0.0
256,256,7168,256,ck,7,0,5.6622,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,165.93,983.82,0.0
256,256,7168,2048,ck,17,0,13.8461,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,542.84,1363.15,0.0
256,256,7168,2304,ck,16,0,14.7149,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,574.64,1411.83,0.0
256,512,7168,256,ck,12,0,7.905,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,237.7,1177.24,0.0
256,512,7168,2048,ck,14,0,18.8886,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,795.84,1221.3,0.0002
256,512,7168,2304,ck,14,0,21.8555,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,773.78,1145.47,0.0001
256,1024,7168,256,cktile,10,0,11.1158,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,338.09,1509.31,0.0
256,1024,7168,2048,ck,13,0,30.8992,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,973.0,1018.06,0.0
256,1024,7168,2304,cktile,10,0,33.9135,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,997.33,989.41,0.0
256,1536,7168,256,cktile,10,0,16.1764,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,348.48,1498.99,0.0
256,1536,7168,2048,cktile,11,0,40.0929,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1124.82,993.84,0.0
256,1536,7168,2304,cktile,11,0,42.9249,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1181.93,980.18,0.0
256,2048,7168,256,cktile,10,0,18.4829,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,406.66,1716.15,0.0
256,2048,7168,2048,ck,13,0,59.5086,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1010.43,810.55,0.0
