cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,2048,53248,16384,23,0,1020.5831,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,3501.34,657.55,0.0
256,4096,2304,16384,21,0,111.9014,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2763.48,637.2,0.0
256,4096,4608,16384,21,0,229.3561,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2696.57,475.47,0.0
256,4096,9216,16384,21,0,332.5793,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3719.27,554.9,0.0
256,4096,13312,16384,21,0,452.543,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3948.15,556.1,0.0
256,4096,16384,2048,21,0,89.4208,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3073.98,1735.49,0.0
256,4096,16384,4096,21,0,143.3347,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3835.47,1229.02,0.0
256,4096,16384,6656,21,0,187.1434,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4773.63,1081.39,0.0
256,4096,16384,8192,21,0,241.4522,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4553.74,903.3,0.0
256,4096,16384,13312,21,0,375.9024,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4753.11,719.69,0.0
256,4096,16384,26624,21,0,774.919,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4611.34,525.02,0.0
256,4096,26624,16384,21,0,815.3837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4382.49,576.12,0.0
256,4096,53248,16384,23,0,1873.5902,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,3814.51,483.55,0.0
256,8192,2304,16384,21,0,206.6824,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2992.39,598.66,0.0
256,8192,4608,16384,21,0,343.9039,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3596.79,524.43,0.0
256,8192,9216,16384,21,0,575.8693,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4295.94,509.84,0.0
256,8192,13312,16384,21,0,817.9465,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4368.76,482.02,0.0
256,8192,16384,2048,21,0,173.5314,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3168.05,1691.92,0.0
256,8192,16384,4096,21,0,273.4299,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4021.18,1165.81,0.0
256,8192,16384,6656,21,0,367.9599,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4855.71,951.8,0.0
256,8192,16384,8192,21,0,479.4436,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4586.62,769.85,0.0
256,8192,16384,13312,21,0,736.0417,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4854.91,586.94,0.0
256,8192,16384,26624,21,0,1541.7372,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4635.57,386.31,0.0
256,8192,26624,16384,21,0,1511.9247,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4726.97,477.15,0.0
256,8192,53248,16384,24,0,3487.837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4098.14,394.44,0.0
256,16384,2304,16384,21,0,319.2593,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3874.44,716.0,0.0
256,16384,4608,16384,21,0,582.7793,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4245.01,554.17,0.0
256,16384,9216,16384,21,0,1058.9369,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4672.42,483.23,0.0
256,16384,13312,16384,21,0,1515.2712,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4716.53,448.42,0.0
256,16384,16384,2048,21,0,333.8239,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3293.69,1708.76,0.0
256,16384,16384,4096,21,0,539.3316,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4077.31,1119.87,0.0
256,16384,16384,6656,21,0,742.6742,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4811.55,869.73,0.0
256,16384,16384,8192,21,0,946.9637,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4644.37,708.67,0.0
256,16384,16384,13312,21,0,1457.1619,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4904.62,518.11,0.0
256,16384,16384,26624,21,0,3056.6872,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4676.19,318.34,0.0
256,16384,26624,16384,21,0,3022.95,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4728.38,405.15,0.0
256,16384,53248,16384,23,0,6935.401,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,4121.94,333.83,0.0
256,32768,2304,16384,21,0,567.9662,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4355.72,771.71,0.0
256,32768,4608,16384,21,0,1073.3623,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4609.63,566.61,0.0
256,32768,9216,16384,21,0,2140.2392,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4623.6,442.9,0.0
256,32768,13312,16384,21,0,3016.9627,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4737.76,414.29,0.0
256,32768,16384,2048,21,0,665.6559,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3303.54,1688.67,0.0
256,32768,16384,4096,21,0,1079.5229,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4074.07,1087.89,0.0
256,32768,16384,6656,21,0,1440.8879,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4960.01,858.72,0.0
256,32768,16384,8192,21,0,1881.3883,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4675.32,677.73,0.0
256,32768,16384,13312,21,0,2881.7149,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4960.12,486.13,0.0
256,32768,16384,26624,21,0,6065.6024,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4713.02,284.89,0.0
256,32768,26624,16384,21,0,6036.7678,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4735.53,369.63,0.0
256,32768,53248,16384,23,0,13786.4608,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,4147.16,304.23,0.0
256,1,800,5120,22,0,21.1826,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,0.39,96.88,0.0
256,1,5120,1280,24,0,10.6228,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1.23,309.49,0.0
256,1,5120,5120,22,0,21.6916,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,2.42,604.84,0.0
256,1,5120,6400,22,0,25.1926,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,2.6,650.88,0.0
256,1,5120,25600,22,0,80.971,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,3.24,809.66,0.0
256,1,6400,5120,22,0,21.6256,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,3.03,758.33,0.0
256,1,12800,5120,22,0,22.2311,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,5.9,1475.24,0.0
256,1,51200,5120,22,0,31.4607,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,16.66,4169.55,0.0
256,16,800,5120,22,0,21.2953,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,6.15,99.3,0.0
256,16,5120,1280,24,0,10.5633,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,19.85,326.69,0.0
256,16,5120,5120,22,0,21.8339,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,38.42,609.69,0.0
256,16,5120,6400,22,0,25.6474,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,40.88,647.2,0.0
256,16,5120,25600,22,0,81.7599,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,51.3,806.08,0.0
256,16,6400,5120,22,0,22.5349,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,46.53,737.96,0.0
256,16,12800,5120,22,0,22.5012,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,93.2,1476.3,0.0
256,16,51200,5120,22,0,31.0446,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,270.21,4276.15,0.0
256,32,800,5120,22,0,21.989,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,11.92,99.19,0.0
256,32,5120,1280,24,0,10.7961,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,38.85,335.77,0.0
256,32,5120,5120,22,0,23.3446,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,71.87,579.01,0.0
256,32,5120,6400,22,0,25.8126,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,81.25,651.39,0.0
256,32,5120,25600,22,0,92.6403,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,90.55,715.38,0.0
256,32,6400,5120,22,0,23.2386,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,90.24,726.18,0.0
256,32,12800,5120,22,0,24.1217,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,173.88,1395.8,0.0
256,32,51200,5120,22,0,32.5996,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,514.64,4123.69,0.0
256,64,800,5120,22,0,25.8477,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,20.28,89.53,0.0
256,64,5120,1280,22,0,11.1583,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,75.18,356.07,0.0
256,64,5120,5120,22,0,27.532,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,121.87,505.83,0.0
256,64,5120,6400,22,0,25.4915,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,164.54,676.47,0.0
256,64,5120,25600,22,0,109.1856,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,153.66,613.73,0.0
256,64,6400,5120,22,0,27.7736,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,151.02,625.31,0.0
256,64,12800,5120,22,0,28.2001,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,297.47,1225.89,0.0
256,64,51200,5120,24,0,39.1796,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,856.43,3516.87,0.0
256,128,800,5120,24,0,32.7867,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,31.98,78.71,0.0
256,128,5120,1280,22,0,11.722,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,143.13,398.35,0.0
256,128,5120,5120,22,0,33.783,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,198.65,436.48,0.0
256,128,5120,6400,22,0,26.7835,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,313.2,675.95,0.0
